Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
F,319,Álvarez,6.0,6.0,Man City,0,0.0,36,2.502,37,3.051,40,2.842,39,0.023,42,2.437,39,5.442,41,2.935,41,3.14
F,356,Wilson,6.9,6.9,Newcastle,57,2.338,55,4.293,54,2.349,51,2.641,51,1.993,51,2.102,51,2.116,51,2.133,49,2.264
F,297,Darwin,8.8,8.8,Liverpool,0,0.0,60,4.698,59,2.272,56,2.435,54,2.347,53,2.304,53,3.702,53,2.201,51,2.263
M,3,Xhaka,4.9,4.9,Arsenal,73,3.149,71,2.927,70,2.491,67,2.527,63,2.53,67,2.232,64,2.276,64,2.175,60,1.759
M,614,Willian,5.5,5.5,Fulham,0,0.0,66,3.004,65,2.803,64,2.778,65,2.273,61,2.409,63,3.961,60,2.268,61,2.484
F,596,Ferguson,4.6,4.6,Brighton,0,0.0,38,4.562,37,2.409,37,2.786,38,0.02,37,2.493,40,4.34,37,2.836,38,2.428
M,464,Benrahma,5.5,5.5,West Ham,0,0.0,53,4.756,51,2.213,54,2.14,51,2.354,50,1.971,52,4.032,52,2.148,51,2.159
M,577,Onana,4.8,4.8,Everton,80,2.519,76,2.506,72,2.301,74,2.611,72,2.549,68,2.272,68,2.335,73,2.31,73,2.242
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,74,2.438,70,5.503,70,2.27,64,1.765,62,1.367,62,1.661,65,1.859,65,2.746,64,1.827
M,220,Palhinha,4.9,4.9,Fulham,0,0.0,82,2.643,80,2.619,80,2.629,79,2.064,78,2.504,75,3.765,74,2.509,77,2.639
D,727,Souttar,4.5,4.5,Leicester,87,2.756,63,4.945,61,2.528,61,1.392,59,2.162,60,1.893,57,1.976,61,2.079,60,1.564
F,262,Iheanacho,6.1,6.1,Leicester,52,2.143,52,4.543,48,2.263,48,1.799,48,2.181,48,2.129,47,2.244,44,2.105,45,1.86
