,code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,fbref,understat,transfermarkt,23-24,Unnamed: 0
193,155408,Lewis,Cook,Cook,47.0,46.0,39.0,79.0,,,67.0,2afc7272,1789.0,249089.0,66.0,
194,155529,Marek,Rodák,Rodák,,,,,186.0,,213.0,17acc2ed,8704.0,186901.0,284.0,
195,156074,Rob,Holding,Holding,484.0,11.0,6.0,10.0,16.0,14.0,5.0,d79a8c87,1749.0,253341.0,7.0,
196,156658,Reece,Burke,Burke,534.0,596.0,,,,,,a681b7b7,1771.0,264220.0,318.0,
197,156685,Joe,Rothwell,Rothwell,,,,,,,505.0,10a10454,561.0,183293.0,81.0,
198,156687,Ben,Pearson,Pearson,,,,,,,68.0,a6b461e7,10742.0,183302.0,79.0,
199,156689,Andreas,Hoelgebaum Pereira,Andreas,263.0,476.0,481.0,246.0,304.0,511.0,346.0,6639e500,922.0,203394.0,267.0,
200,158499,Ryan,Christie,Christie,,,,,,,69.0,26ce2263,10744.0,188077.0,65.0,
201,159506,Ola,Aina,Aina,487.0,,,,562.0,,,246d153b,725.0,236490.0,604.0,
202,159533,Adama,Traoré Diarra,Adama,563.0,,500.0,417.0,465.0,435.0,491.0,9a28eba4,900.0,204103.0,662.0,
203,160987,Jean-Philippe,Gbamin,Gbamin,,,,497.0,161.0,504.0,187.0,6bd603db,4764.0,182894.0,251.0,
204,164484,Zack,Steffen,Steffen,,,,,538.0,260.0,310.0,42130443,7817.0,221624.0,367.0,
205,164555,Vladimir,Coufal,Coufal,,,,,558.0,418.0,463.0,fdf3cb77,8965.0,157672.0,528.0,
206,165659,Diego Carlos,Santos Silva,Diego Carlos,,,,,,,50.0,b4a014b1,5712.0,329145.0,41.0,
207,165809,Bernardo,Veiga de Carvalho e Silva,Bernardo,,256.0,276.0,218.0,281.0,261.0,311.0,3eb22ec9,3635.0,241641.0,344.0,
208,166324,Ivan,Neves Abreu Cavaleiro,Cavaleiro,,,434.0,419.0,187.0,,214.0,979b811d,3683.0,149716.0,269.0,
209,166477,Timothy,Castagne,Castagne,,,,,498.0,209.0,258.0,197640fd,6157.0,262226.0,688.0,
210,166989,Youri,Tielemans,Tielemans,,,591.0,448.0,228.0,210.0,259.0,56f7a928,5956.0,249565.0,58.0,
211,167074,Kenny,Tete,Tete,,,,,517.0,,215.0,77d7c96f,5973.0,206746.0,285.0,
212,167199,Thomas,Partey,Partey,,,,,567.0,15.0,6.0,529f49ab,2328.0,230784.0,15.0,
213,167878,Ben,Osborn,Osborn,,,,472.0,356.0,,,79bc4c45,7714.0,218087.0,489.0,
214,168281,Scott,McKenna,McKenna,,,,,,,385.0,4e5a4cbc,10757.0,255906.0,455.0,
215,168991,Philip,Billing,Billing,,175.0,202.0,476.0,,,70.0,d328a254,6034.0,320411.0,63.0,
216,169187,Trent,Alexander-Arnold,Alexander-Arnold,523.0,223.0,245.0,182.0,259.0,237.0,285.0,cd1acf9d,1791.0,314353.0,290.0,
