Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,189,Gray,5.2,5.2,Everton,45,1.556,45,1.684,43,1.492,45,1.511,43,1.662,44,1.85
F,411,Adams,6.0,6.0,Southampton,0,0.056,7,1.096,38,1.728,48,1.729,68,2.726,64,2.415
M,582,Freuler,4.9,4.9,Nott'm Forest,71,2.276,64,2.013,58,1.719,51,1.202,53,1.241,52,1.3
D,448,Perišić,5.3,5.3,Spurs,59,1.957,54,1.501,48,1.659,42,1.475,37,1.508,37,1.647
M,704,Sarabia,5.1,5.1,Wolves,34,1.702,39,1.456,33,1.658,37,1.62,35,1.842,36,1.456
D,573,Lewis,3.9,3.9,Man City,22,1.173,24,2.47,16,1.228,18,1.262,21,2.348,21,1.185
M,703,Danilo,4.5,4.5,Nott'm Forest,66,2.144,64,2.099,53,1.508,51,1.297,52,1.287,50,1.27
G,113,Sánchez,4.5,4.5,Brighton,16,1.1,15,2.158,10,1.023,16,2.097,17,2.144,17,1.075
M,89,Wissa,5.3,5.3,Brentford,26,1.37,33,1.818,39,1.519,43,1.648,45,1.713,47,1.525
F,255,Vardy,9.1,9.1,Leicester,43,1.674,42,1.68,45,1.655,45,1.5,46,1.506,44,1.566
M,481,Hwang,5.7,5.7,Wolves,27,1.607,28,1.533,27,1.589,25,1.574,27,1.644,30,1.563
D,587,Sergio Gómez,4.4,4.4,Man City,6,1.137,9,2.464,3,1.232,5,1.232,5,2.272,5,1.146
M,713,Danjuma,6.1,6.1,Spurs,32,1.811,25,1.483,18,1.52,18,1.503,19,1.515,19,1.612
M,291,Jones,4.9,4.9,Liverpool,42,1.374,38,2.844,30,1.292,28,1.29,25,1.266,27,1.356
F,210,Mitrović,6.6,6.6,Fulham,0,-0.184,0,-0.432,0,-0.171,75,3.573,75,3.423,74,3.199
M,23,Nelson,4.7,4.7,Arsenal,5,1.314,7,1.54,6,1.37,6,1.416,6,1.851,5,1.888
M,278,Chamberlain,4.9,4.9,Liverpool,4,1.287,4,2.682,5,1.316,4,1.313,4,1.3,5,1.38
M,441,Skipp,4.3,4.3,Spurs,73,2.279,69,2.067,59,1.593,48,1.093,44,1.041,43,1.112
D,628,Aurier,4.3,4.3,Nott'm Forest,0,-0.077,4,1.037,38,1.331,70,2.512,66,1.803,66,2.578
D,504,Malacia,4.2,4.2,Man Utd,26,1.13,27,2.172,26,1.112,30,1.188,30,2.354,31,1.209
M,505,Rothwell,4.9,4.9,Bournemouth,56,1.651,55,1.598,54,1.456,52,1.415,55,1.446,55,1.589
M,715,Tetê,5.1,5.1,Leicester,37,1.865,30,1.774,28,1.456,26,1.332,28,1.329,25,1.384
M,575,Cornet,5.9,5.9,West Ham,16,1.235,14,2.488,16,1.251,18,1.364,19,1.388,19,1.393
D,513,Lenglet,4.8,4.8,Spurs,57,1.479,57,1.297,57,1.817,53,1.362,55,1.505,56,1.638
M,246,Aaronson,5.3,5.3,Leeds,51,1.604,50,1.675,49,1.412,46,1.379,46,1.465,46,1.506
M,316,Palmer,4.2,4.2,Man City,3,1.088,6,2.25,7,1.174,7,1.164,7,2.209,9,1.116
F,168,Mateta,5.1,5.1,Crystal Palace,29,1.612,34,1.666,25,1.416,22,1.459,20,1.415,20,1.43
D,367,Targett,4.7,4.7,Newcastle,33,1.386,27,1.338,21,1.199,22,2.517,25,1.298,26,1.25
M,34,Traoré,4.9,4.9,Aston Villa,35,1.699,37,1.576,33,1.691,23,1.482,13,1.283,9,1.208
M,347,Pellistri,4.3,4.3,Man Utd,7,1.118,8,2.205,7,1.103,6,1.129,4,2.241,5,1.14
M,135,Ziyech,5.5,5.5,Chelsea,10,1.113,13,1.261,16,1.353,12,1.359,13,2.543,13,1.286
D,127,Azpilicueta,4.7,4.7,Chelsea,47,1.274,49,1.199,48,1.441,48,1.486,44,2.308,44,1.174
M,491,Adama,5.4,5.4,Wolves,33,1.533,31,1.416,30,1.459,32,1.479,31,1.586,30,1.381
M,136,Loftus-Cheek,5.0,5.0,Chelsea,31,1.318,28,1.202,30,1.347,30,1.345,28,2.42,27,1.218
M,240,Summerville,4.2,4.2,Leeds,33,1.53,32,1.64,31,1.311,33,1.366,33,1.458,33,1.523
M,204,Kebano,5.4,5.4,Fulham,14,1.241,17,2.434,15,1.275,13,1.329,15,1.263,16,1.234
F,271,Daka,5.6,5.6,Leicester,32,1.776,29,1.649,25,1.399,26,1.287,28,1.286,28,1.365
M,723,H.Traorè,4.5,4.5,Bournemouth,7,1.163,11,1.269,24,1.368,40,1.621,42,1.568,44,1.728
M,296,Carvalho,5.1,5.1,Liverpool,3,1.219,4,2.496,5,1.237,4,1.23,5,1.238,2,1.225
F,585,Dennis,5.6,5.6,Nott'm Forest,33,1.341,33,1.465,31,1.608,31,1.452,30,1.293,33,1.484
M,486,Neto,4.9,4.9,Wolves,23,1.431,24,1.346,27,1.494,25,1.407,27,1.584,25,1.351
M,86,Janelt,5.5,5.5,Brentford,53,1.473,52,1.591,50,1.295,53,1.501,51,1.468,50,1.28
D,489,Toti,3.8,3.8,Wolves,69,3.034,55,1.224,49,1.135,47,1.054,44,1.147,45,1.013
M,406,Elyounoussi,5.1,5.1,Southampton,55,1.648,53,1.35,55,1.645,51,1.421,49,1.255,47,1.23
D,295,N.Williams,3.8,3.8,Nott'm Forest,82,2.021,78,2.089,54,1.475,29,0.961,32,0.965,31,1.007
F,617,Aubameyang,8.4,8.4,Chelsea,9,1.173,11,1.125,12,1.309,15,1.294,15,2.362,12,1.185
D,343,B.Williams,3.8,3.8,Man Utd,2,1.014,3,2.059,3,1.036,3,1.074,4,2.136,4,1.083
M,200,Cairney,4.7,4.7,Fulham,15,1.152,18,2.346,20,1.231,21,1.262,22,1.218,20,1.185
M,83,Dasilva,4.1,4.1,Brentford,35,1.358,34,1.53,37,1.316,38,1.395,38,1.447,36,1.313
G,324,Ortega,3.8,3.8,Man City,1,1.026,2,2.092,2,1.052,2,1.046,3,2.076,3,1.039
D,718,Viña,4.5,4.5,Bournemouth,38,1.438,39,1.439,41,1.317,39,1.377,39,1.316,41,1.433
D,456,Ogbonna,4.4,4.4,West Ham,25,1.151,21,2.322,22,1.168,21,1.183,24,1.269,26,1.227
M,569,Garnacho,4.1,4.1,Man Utd,0,0.176,0,0.338,3,1.341,10,1.4,16,3.301,21,1.748
G,162,Butland,4.4,4.4,Man Utd,1,1.02,2,2.067,3,1.036,4,1.039,3,2.09,3,1.05
D,432,Davies,4.7,4.7,Spurs,54,1.361,55,1.279,54,1.575,54,1.389,51,1.331,48,1.363
M,69,Christie,5.3,5.3,Bournemouth,50,1.442,49,1.425,48,1.339,47,1.345,46,1.297,47,1.4
D,221,Cooper,4.4,4.4,Leeds,37,1.165,56,1.597,58,1.19,55,1.367,59,1.607,52,1.308
M,483,Podence,5.2,5.2,Wolves,36,1.415,40,1.27,37,1.37,34,1.324,37,1.541,36,1.269
D,545,Emerson,4.0,4.0,West Ham,29,1.124,29,2.282,28,1.144,29,1.158,29,1.247,30,1.202
D,436,R.Sessegnon,4.4,4.4,Spurs,6,1.127,13,1.195,26,1.386,41,1.399,46,1.457,42,1.586
F,619,Gnonto,4.8,4.8,Leeds,36,1.44,39,1.503,34,1.18,35,1.227,36,1.373,35,1.418
M,12,Smith Rowe,5.6,5.6,Arsenal,5,1.161,7,1.227,9,1.189,13,1.398,15,1.571,19,1.595
D,520,Koulibaly,5.5,5.5,Chelsea,0,-0.138,4,0.893,15,1.111,37,1.204,60,3.155,59,1.892
D,26,Saliba,5.0,5.0,Arsenal,3,0.9,13,1.055,25,1.058,36,1.075,47,1.323,61,2.704
M,195,Gordon,5.1,5.1,Newcastle,24,1.208,25,1.21,25,1.092,22,2.293,21,1.171,23,1.123
M,708,Madueke,5.4,5.4,Chelsea,9,1.114,11,1.122,10,1.174,11,1.212,11,2.258,12,1.188
F,237,Greenwood,4.0,4.0,Leeds,16,1.344,21,1.43,17,1.263,19,1.377,16,1.293,17,1.35
M,148,Gallagher,5.6,5.6,Chelsea,23,1.154,25,1.088,27,1.236,28,1.233,27,2.215,28,1.123
D,194,Mykolenko,4.1,4.1,Everton,59,1.574,53,1.379,51,1.148,48,1.113,50,1.324,53,1.496
M,205,De Cordova-Reid,5.4,5.4,Fulham,43,1.105,47,2.263,47,1.234,39,1.209,40,1.124,39,1.087
F,476,Jiménez,6.6,6.6,Wolves,17,1.307,17,1.267,18,1.398,17,1.285,17,1.36,22,1.379
M,274,Milner,4.4,4.4,Liverpool,7,1.049,13,2.382,11,1.125,10,1.092,13,1.188,10,1.154
M,338,McTominay,4.9,4.9,Man Utd,7,0.902,14,1.917,16,0.974,21,1.048,22,2.076,24,1.066
D,1,Cédric,4.2,4.2,Fulham,14,1.11,19,2.23,17,1.161,21,1.211,21,1.144,20,1.112
D,689,Badiashile,5.0,5.0,Chelsea,28,1.145,30,1.11,26,1.217,19,1.207,16,2.184,14,1.095
M,509,Downes,4.2,4.2,West Ham,13,1.116,13,2.239,14,1.119,15,1.123,16,1.186,18,1.17
F,700,Rutter,5.1,5.1,Leeds,17,1.272,18,1.432,17,1.206,20,1.32,19,1.348,20,1.373
D,286,Gomez,4.3,4.3,Liverpool,18,1.107,13,2.263,14,1.093,19,1.141,19,1.114,19,1.18
D,576,Senesi,4.4,4.4,Bournemouth,51,1.365,52,1.412,46,1.185,50,1.262,54,1.301,51,1.365
D,530,Richards,4.4,4.4,Crystal Palace,14,1.272,22,1.271,21,1.29,21,1.343,24,1.326,24,1.354
D,249,Evans,4.4,4.4,Leicester,0,0.033,9,1.121,35,1.178,58,1.429,66,1.83,63,2.261
M,460,Lanzini,5.0,5.0,West Ham,10,1.091,6,2.157,7,1.089,9,1.098,10,1.19,12,1.182
D,197,Patterson,3.9,3.9,Everton,70,2.162,45,1.167,36,1.091,27,1.069,21,1.138,21,1.166
