,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
152,M,126.0,Caicedo,46,46,Chelsea,80.0,2.579,80.0,2.666,80.0,3.099,80.0,2.772,80.0,2.803,80.0,2.843,80.0,2.841,80.0,2.443,80.0,2.931,80.0,2.686,80.0,2.335,80.0,2.712
153,F,132.0,Ferguson,61,61,Brighton,55.0,2.365,55.0,2.965,55.0,2.231,55.0,2.554,55.0,2.386,55.0,2.544,55.0,2.941,55.0,3.607,55.0,2.562,55.0,2.377,55.0,3.627,55.0,2.54
154,M,250.0,Garner,49,49,Everton,70.0,2.59,70.0,2.638,70.0,2.902,70.0,2.664,70.0,2.485,70.0,2.847,70.0,2.695,70.0,2.799,70.0,2.739,70.0,2.434,70.0,2.847,70.0,2.639
155,D,497.0,Emerson Royal,44,44,Spurs,65.0,2.98,65.0,2.284,65.0,2.854,65.0,3.0,65.0,2.293,65.0,3.166,65.0,2.385,65.0,2.526,65.0,2.658,65.0,2.557,65.0,3.162,65.0,2.251
156,D,473.0,Baldock,39,39,Sheffield Utd,77.0,2.184,77.0,2.51,77.0,2.037,77.0,2.133,77.0,4.061,77.0,1.663,77.0,3.227,77.0,2.744,77.0,2.51,77.0,3.443,77.0,2.592,77.0,2.948
157,D,222.0,Clyne,44,44,Crystal Palace,72.0,3.367,72.0,2.269,72.0,1.623,72.0,2.691,72.0,2.173,72.0,2.677,72.0,1.977,72.0,3.958,72.0,2.347,72.0,2.491,72.0,2.796,72.0,3.67
158,F,211.0,N.Jackson,69,69,Chelsea,60.0,2.517,60.0,2.594,60.0,3.271,60.0,2.61,60.0,2.668,60.0,3.24,60.0,2.676,60.0,2.374,60.0,2.616,60.0,2.659,60.0,2.194,60.0,2.464
159,M,66.0,Cook,50,50,Bournemouth,80.0,2.625,80.0,2.548,80.0,2.951,80.0,2.723,80.0,2.786,80.0,2.539,80.0,2.523,80.0,2.629,80.0,2.873,80.0,2.673,80.0,2.425,80.0,2.423
160,M,421.0,S.Longstaff,49,49,Newcastle,64.0,2.598,64.0,2.51,64.0,2.727,64.0,2.837,64.0,2.863,64.0,2.397,64.0,2.332,64.0,2.462,64.0,3.031,64.0,2.702,64.0,2.835,64.0,2.408
161,D,318.0,Burke,40,40,Luton,77.0,2.245,77.0,1.905,77.0,2.917,77.0,2.22,77.0,3.483,77.0,2.404,77.0,3.087,77.0,2.571,77.0,1.933,77.0,4.131,77.0,2.74,77.0,1.943
