Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts
M,270.0,De Cordova-Reid,55,55,Fulham,75.0,2.64,75.0,3.404,75.0,2.935,75.0,3.014,75.0,3.389,75.0,2.961,75.0,2.756,75.0,2.895
M,105.0,Janelt,55,55,Brentford,74.0,3.191,74.0,2.69,74.0,3.135,74.0,3.057,74.0,2.762,74.0,3.239,74.0,2.88,74.0,3.034
M,568.0,Podence,54,54,Wolves,67.0,2.929,67.0,2.781,67.0,3.362,67.0,2.658,67.0,2.942,67.0,3.181,67.0,2.763,67.0,3.333
M,540.0,Rice,54,54,Arsenal,80.0,2.926,80.0,3.056,80.0,3.082,80.0,3.116,80.0,2.68,80.0,2.905,80.0,3.419,80.0,2.721
D,602.0,Kabore,40,40,Luton,74.0,3.167,74.0,2.977,74.0,3.649,74.0,3.012,74.0,3.132,74.0,3.147,74.0,2.452,74.0,2.324
M,372.0,Antony,69,69,Man Utd,67.0,2.714,67.0,2.803,67.0,3.215,67.0,2.965,67.0,2.939,67.0,3.319,67.0,2.638,67.0,3.07
D,10.0,Kiwior,44,44,Arsenal,66.0,2.898,66.0,3.076,66.0,3.286,66.0,3.179,66.0,1.988,66.0,2.69,66.0,4.168,66.0,2.194
F,433.0,Wilson,79,79,Newcastle,55.0,2.502,55.0,2.719,55.0,3.865,55.0,3.22,55.0,2.78,55.0,2.735,55.0,3.094,55.0,2.558
D,391.0,Martínez,49,49,Man Utd,78.0,2.202,78.0,2.752,78.0,3.509,78.0,3.22,78.0,3.038,78.0,3.596,78.0,1.997,78.0,3.158
D,588.0,Young,45,45,Everton,74.0,3.452,74.0,2.321,74.0,2.476,74.0,4.154,74.0,3.699,74.0,1.964,74.0,2.862,74.0,2.481
F,132.0,Ferguson,59,59,Brighton,60.0,2.562,60.0,2.87,60.0,3.367,60.0,2.996,60.0,2.698,60.0,2.455,60.0,3.194,60.0,3.262
M,110.0,Nørgaard,55,55,Brentford,75.0,3.13,75.0,2.549,75.0,3.055,75.0,3.01,75.0,2.628,75.0,3.196,75.0,2.728,75.0,2.944
M,78.0,Ouattara,49,49,Bournemouth,65.0,2.841,65.0,2.919,65.0,2.663,65.0,2.693,65.0,3.066,65.0,3.235,65.0,3.297,65.0,2.514
M,15.0,Partey,49,49,Arsenal,78.0,2.841,78.0,2.959,78.0,2.983,78.0,3.015,78.0,2.571,78.0,2.808,78.0,3.32,78.0,2.615
D,528.0,Coufal,45,45,West Ham,75.0,3.607,75.0,1.917,75.0,2.091,75.0,4.208,75.0,2.395,75.0,2.566,75.0,3.685,75.0,2.525
D,506.0,Pedro Porro,49,49,Spurs,62.0,3.147,62.0,3.641,62.0,2.147,62.0,2.341,62.0,3.268,62.0,3.104,62.0,2.545,62.0,2.744
D,265.0,Tarkowski,45,45,Everton,82.0,3.377,82.0,2.294,82.0,2.39,82.0,4.11,82.0,3.627,82.0,1.905,82.0,2.771,82.0,2.46
M,356.0,Kovacic,50,50,Man City,72.0,3.062,72.0,2.819,72.0,3.177,72.0,2.951,72.0,2.51,72.0,2.651,72.0,2.593,72.0,3.153
M,115.0,Schade,54,54,Brentford,65.0,3.058,65.0,2.563,65.0,2.967,65.0,2.98,65.0,2.639,65.0,3.115,65.0,2.691,65.0,2.875
M,50.0,McGinn,55,55,Aston Villa,76.0,2.57,76.0,2.829,76.0,2.717,76.0,2.679,76.0,2.968,76.0,2.927,76.0,3.226,76.0,2.962
D,204.0,Hall,45,45,Newcastle,60.0,2.257,60.0,2.737,60.0,3.221,60.0,3.56,60.0,2.735,60.0,2.913,60.0,2.919,60.0,2.384
M,63.0,Billing,54,54,Bournemouth,75.0,2.752,75.0,2.884,75.0,2.63,75.0,2.693,75.0,2.935,75.0,3.109,75.0,3.17,75.0,2.513
D,545.0,Aït-Nouri,45,45,Wolves,73.0,2.709,73.0,2.421,73.0,3.643,73.0,1.997,73.0,2.847,73.0,3.193,73.0,2.401,73.0,3.464
F,154.0,Welbeck,59,59,Brighton,65.0,2.689,65.0,2.744,65.0,3.044,65.0,2.875,65.0,2.707,65.0,2.599,65.0,2.998,65.0,2.99
M,382.0,Garnacho,49,49,Man Utd,60.0,2.525,60.0,2.581,60.0,2.944,60.0,2.747,60.0,2.73,60.0,3.716,60.0,2.469,60.0,2.917
M,566.0,Matheus,50,50,Wolves,80.0,2.779,80.0,2.693,80.0,3.044,80.0,2.567,80.0,2.832,80.0,2.942,80.0,2.675,80.0,3.01
M,106.0,Jensen,54,54,Brentford,67.0,3.006,67.0,2.494,67.0,2.942,67.0,2.915,67.0,2.572,67.0,3.061,67.0,2.672,67.0,2.845
D,281.0,Ream,45,45,Fulham,80.0,1.529,80.0,4.002,80.0,2.556,80.0,2.896,80.0,3.918,80.0,2.743,80.0,2.084,80.0,2.657
D,262.0,Patterson,45,45,Everton,77.0,3.272,77.0,2.248,77.0,2.32,77.0,3.99,77.0,3.526,77.0,1.872,77.0,2.682,77.0,2.412
D,247.0,Coleman,44,44,Everton,73.0,3.237,73.0,2.245,73.0,2.341,73.0,3.929,73.0,3.485,73.0,1.891,73.0,2.684,73.0,2.403
