Pos,ID,Name,BV,SV,Team,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts
M,624.0,Dobbin,45,45,Everton,5.0,0.873,5.0,0.933,5.0,0.933,5.0,0.674,5.0,0.941,5.0,0.893,5.0,0.922,5.0,0.899,5.0,0.171,5.0,0.995
D,41.0,Diego Carlos,44,44,Aston Villa,20.0,0.84,20.0,0.819,20.0,0.911,20.0,0.829,20.0,0.856,20.0,0.896,20.0,0.904,20.0,0.856,20.0,0.441,20.0,0.875
M,67.0,Dembélé,45,45,Bournemouth,12.0,0.705,12.0,0.734,12.0,0.831,12.0,0.858,12.0,0.766,12.0,0.766,12.0,0.781,12.0,0.94,12.0,0.372,12.0,0.733
M,87.0,H.Traorè,47,47,Bournemouth,12.0,0.672,12.0,0.71,12.0,0.835,12.0,0.837,12.0,0.741,12.0,0.726,12.0,0.784,12.0,0.915,12.0,0.363,12.0,0.717
F,174.0,Obafemi,49,49,Burnley,11.0,1.218,11.0,0.627,11.0,0.719,11.0,0.646,11.0,0.654,11.0,0.713,11.0,0.723,11.0,0.691,11.0,0.594,11.0,0.665
F,212.0,Nkunku,74,74,Chelsea,5.0,0.853,5.0,0.753,5.0,0.88,5.0,0.846,5.0,0.724,5.0,0.252,5.0,0.789,5.0,0.824,5.0,0.409,5.0,0.87
M,566.0,Matheus,48,48,Man City,15.0,0.673,15.0,0.769,15.0,0.681,15.0,0.712,15.0,1.17,15.0,0.722,15.0,0.701,15.0,0.818,15.0,0.212,15.0,0.675
M,578.0,Nelson,48,48,Arsenal,11.0,0.743,11.0,0.77,11.0,0.65,11.0,0.716,11.0,0.787,11.0,0.714,11.0,0.88,11.0,0.716,11.0,0.427,11.0,0.585
M,600.0,Redmond,47,47,Burnley,15.0,0.892,15.0,0.657,15.0,0.708,15.0,0.658,15.0,0.659,15.0,0.706,15.0,0.715,15.0,0.695,15.0,0.598,15.0,0.669
M,549.0,Chiquinho,45,45,Wolves,4.0,0.718,4.0,0.727,4.0,0.676,4.0,0.726,4.0,0.696,4.0,0.911,4.0,0.677,4.0,0.759,4.0,0.383,4.0,0.653
M,146.0,Sarmiento,45,45,Brighton,12.0,0.72,12.0,0.887,12.0,0.715,12.0,0.695,12.0,0.894,12.0,0.699,12.0,0.7,12.0,0.764,12.0,0.203,12.0,0.644
D,699.0,Lenglet,45,45,Aston Villa,15.0,0.704,15.0,0.687,15.0,0.766,15.0,0.693,15.0,0.716,15.0,0.754,15.0,0.759,15.0,0.721,15.0,0.368,15.0,0.733
F,714.0,Origi,50,50,Nott'm Forest,15.0,0.681,15.0,0.668,15.0,0.703,15.0,0.686,15.0,0.701,15.0,0.667,15.0,0.672,15.0,0.683,15.0,0.645,15.0,0.713
M,111.0,Onyeka,49,49,Brentford,12.0,0.685,12.0,0.634,12.0,0.585,12.0,0.647,12.0,0.999,12.0,0.632,12.0,0.609,12.0,0.713,12.0,0.613,12.0,0.621
M,163.0,Cork,48,48,Burnley,15.0,0.683,15.0,0.573,15.0,0.628,15.0,0.579,15.0,0.586,15.0,0.623,15.0,0.633,15.0,0.614,15.0,0.523,15.0,0.589
M,706.0,M.Trésor,54,54,Burnley,12.0,0.755,12.0,0.561,12.0,0.613,12.0,0.562,12.0,0.564,12.0,0.611,12.0,0.621,12.0,0.599,12.0,0.513,12.0,0.573
M,527.0,Cornet,52,52,West Ham,10.0,0.729,10.0,0.609,10.0,0.567,10.0,0.514,10.0,0.646,10.0,0.564,10.0,0.581,10.0,0.659,10.0,0.27,10.0,0.557
D,598.0,Doherty,43,43,Wolves,5.0,0.56,5.0,0.582,5.0,0.548,5.0,0.565,5.0,0.571,5.0,0.804,5.0,0.548,5.0,0.599,5.0,0.308,5.0,0.542
D,84.0,Smith,44,44,Bournemouth,12.0,0.513,12.0,0.56,12.0,0.653,12.0,0.651,12.0,0.566,12.0,0.544,12.0,0.623,12.0,0.64,12.0,0.289,12.0,0.562
D,252.0,Godfrey,43,43,Everton,12.0,0.578,12.0,0.619,12.0,0.619,12.0,0.553,12.0,0.628,12.0,0.585,12.0,0.618,12.0,0.59,12.0,0.12,12.0,0.626
D,277.0,Mbabu,40,40,Fulham,12.0,0.541,12.0,0.579,12.0,0.633,12.0,0.598,12.0,0.54,12.0,0.498,12.0,0.555,12.0,0.591,12.0,0.332,12.0,0.647
D,473.0,Baldock,39,39,Sheffield Utd,12.0,0.581,12.0,0.571,12.0,0.527,12.0,0.618,12.0,0.544,12.0,0.58,12.0,0.541,12.0,0.569,12.0,0.206,12.0,0.588
D,75.0,Mepham,43,43,Bournemouth,10.0,0.422,10.0,0.458,10.0,0.54,10.0,0.533,10.0,0.459,10.0,0.447,10.0,0.508,10.0,0.524,10.0,0.237,10.0,0.46
M,244.0,André Gomes,44,44,Everton,10.0,0.473,10.0,0.512,10.0,0.512,10.0,0.432,10.0,0.521,10.0,0.478,10.0,0.511,10.0,0.484,10.0,0.098,10.0,0.518
F,264.0,Simms,45,45,Everton,3.0,0.445,3.0,0.502,3.0,0.504,3.0,0.401,3.0,0.511,3.0,0.478,3.0,0.495,3.0,0.481,3.0,0.092,3.0,0.503
D,305.0,Matip,49,49,Liverpool,10.0,0.449,10.0,0.412,10.0,0.393,10.0,0.506,10.0,0.756,10.0,0.056,10.0,0.472,10.0,0.396,10.0,0.09,10.0,0.416
D,553.0,Giles,43,43,Luton,7.0,0.409,7.0,0.374,7.0,0.377,7.0,0.509,7.0,0.658,7.0,0.063,7.0,0.362,7.0,0.385,7.0,0.324,7.0,0.376
M,613.0,Ugochukwu,44,44,Chelsea,10.0,0.443,10.0,0.388,10.0,0.451,10.0,0.438,10.0,0.38,10.0,0.132,10.0,0.397,10.0,0.409,10.0,0.232,10.0,0.474
D,530.0,Cresswell,42,42,West Ham,8.0,0.481,8.0,0.4,8.0,0.36,8.0,0.341,8.0,0.436,8.0,0.357,8.0,0.372,8.0,0.453,8.0,0.182,8.0,0.351
M,534.0,Fornals,46,46,West Ham,7.0,0.552,7.0,0.37,7.0,0.338,7.0,0.323,7.0,0.393,7.0,0.338,7.0,0.346,7.0,0.406,7.0,0.173,7.0,0.332
M,16.0,Pépé,49,49,Arsenal,3.0,0.362,3.0,0.398,3.0,0.318,3.0,0.35,3.0,0.417,3.0,0.338,3.0,0.515,3.0,0.334,3.0,0.201,3.0,0.282
M,453.0,Mangala,50,50,Nott'm Forest,8.0,0.325,8.0,0.323,8.0,0.36,8.0,0.332,8.0,0.362,8.0,0.317,8.0,0.322,8.0,0.328,8.0,0.307,8.0,0.365
M,81.0,Rothwell,48,48,Bournemouth,7.0,0.296,7.0,0.329,7.0,0.393,7.0,0.382,7.0,0.325,7.0,0.311,7.0,0.373,7.0,0.399,7.0,0.17,7.0,0.324
M,609.0,Maatsen,51,51,Chelsea,5.0,0.369,5.0,0.321,5.0,0.377,5.0,0.364,5.0,0.316,5.0,0.109,5.0,0.332,5.0,0.341,5.0,0.192,5.0,0.399
M,381.0,Fred,50,50,Man Utd,5.0,0.321,5.0,0.325,5.0,0.323,5.0,0.283,5.0,0.491,5.0,0.291,5.0,0.277,5.0,0.318,5.0,0.195,5.0,0.291
D,242.0,Ward,45,45,Crystal Palace,7.0,0.275,7.0,0.384,7.0,0.285,7.0,0.292,7.0,0.306,7.0,0.358,7.0,0.312,7.0,0.385,7.0,0.155,7.0,0.346
D,90.0,Ajer,44,44,Brentford,6.0,0.353,6.0,0.291,6.0,0.245,6.0,0.309,6.0,0.42,6.0,0.297,6.0,0.268,6.0,0.295,6.0,0.323,6.0,0.285
M,410.0,Fraser,49,49,Newcastle,5.0,0.276,5.0,0.263,5.0,0.514,5.0,0.348,5.0,0.317,5.0,0.256,5.0,0.318,5.0,0.267,5.0,0.159,5.0,0.307
M,21.0,Sambi,49,49,Luton,5.0,0.332,5.0,0.291,5.0,0.279,5.0,0.415,5.0,0.507,5.0,0.047,5.0,0.269,5.0,0.303,5.0,0.261,5.0,0.281
D,366.0,Sergio Gómez,39,39,Man City,3.0,0.221,3.0,0.349,3.0,0.222,3.0,0.256,3.0,0.397,3.0,0.26,3.0,0.243,3.0,0.258,3.0,0.07,3.0,0.217
D,37.0,Chambers,39,39,Aston Villa,4.0,0.23,4.0,0.22,4.0,0.304,4.0,0.228,4.0,0.24,4.0,0.278,4.0,0.298,4.0,0.247,4.0,0.124,4.0,0.259
D,537.0,Kehrer,42,42,West Ham,5.0,0.299,5.0,0.272,5.0,0.232,5.0,0.217,5.0,0.288,5.0,0.228,5.0,0.243,5.0,0.3,5.0,0.117,5.0,0.224
M,62.0,Anthony,49,49,Bournemouth,3.0,0.195,3.0,0.225,3.0,0.284,3.0,0.273,3.0,0.221,3.0,0.194,3.0,0.263,3.0,0.37,3.0,0.117,3.0,0.221
M,574.0,Traoré,43,43,Wolves,5.0,0.228,5.0,0.241,5.0,0.224,5.0,0.233,5.0,0.248,5.0,0.319,5.0,0.224,5.0,0.262,5.0,0.134,5.0,0.217
F,127.0,Connolly,45,45,Brighton,3.0,0.203,3.0,0.336,3.0,0.201,3.0,0.187,3.0,0.344,3.0,0.188,3.0,0.19,3.0,0.218,3.0,0.044,3.0,0.159
G,710.0,Odysseas,45,45,Nott'm Forest,5.0,0.2,5.0,0.204,5.0,0.207,5.0,0.21,5.0,0.217,5.0,0.198,5.0,0.203,5.0,0.203,5.0,0.172,5.0,0.219
M,3.0,Elneny,44,44,Arsenal,3.0,0.171,3.0,0.192,3.0,0.134,3.0,0.162,3.0,0.204,3.0,0.143,3.0,0.214,3.0,0.14,3.0,0.084,3.0,0.117
M,442.0,Danilo,53,53,Nott'm Forest,2.0,0.118,2.0,0.119,2.0,0.153,2.0,0.129,2.0,0.154,2.0,0.113,2.0,0.119,2.0,0.122,2.0,0.208,2.0,0.158
G,17.0,Ramsdale,46,46,Arsenal,3.0,0.147,3.0,0.144,3.0,0.135,3.0,0.138,3.0,0.156,3.0,0.139,3.0,0.165,3.0,0.139,3.0,0.083,3.0,0.116
D,23.0,Tavares,40,40,Nott'm Forest,1.0,0.078,1.0,0.076,1.0,0.116,1.0,0.089,1.0,0.114,1.0,0.073,1.0,0.078,1.0,0.082,1.0,0.21,1.0,0.119
M,276.0,Lukic,43,43,Fulham,1.0,0.077,1.0,0.103,1.0,0.143,1.0,0.118,1.0,0.078,1.0,0.077,1.0,0.087,1.0,0.113,1.0,0.062,1.0,0.154
F,538.0,Mubama,42,42,West Ham,1.0,0.165,1.0,0.087,1.0,0.062,1.0,0.047,1.0,0.095,1.0,0.06,1.0,0.067,1.0,0.102,1.0,0.03,1.0,0.057
G,533.0,Fabianski,42,42,West Ham,1.0,0.087,1.0,0.066,1.0,0.069,1.0,0.048,1.0,0.075,1.0,0.059,1.0,0.051,1.0,0.086,1.0,0.03,1.0,0.046
G,361.0,Ortega,38,38,Man City,1.0,0.05,1.0,0.076,1.0,0.055,1.0,0.061,1.0,0.104,1.0,0.058,1.0,0.066,1.0,0.065,1.0,0.018,1.0,0.059
G,53.0,Olsen,39,39,Aston Villa,1.0,0.048,1.0,0.059,1.0,0.082,1.0,0.063,1.0,0.056,1.0,0.069,1.0,0.075,1.0,0.061,1.0,0.029,1.0,0.063
G,116.0,Strakosha,39,39,Brentford,1.0,0.069,1.0,0.055,1.0,0.045,1.0,0.057,1.0,0.076,1.0,0.058,1.0,0.058,1.0,0.055,1.0,0.066,1.0,0.064
G,284.0,Rodák,39,39,Fulham,1.0,0.048,1.0,0.054,1.0,0.072,1.0,0.059,1.0,0.053,1.0,0.048,1.0,0.058,1.0,0.053,1.0,0.034,1.0,0.072
G,498.0,Forster,39,39,Spurs,1.0,0.054,1.0,0.055,1.0,0.047,1.0,0.058,1.0,0.061,1.0,0.015,1.0,0.065,1.0,0.045,1.0,0.031,1.0,0.092
D,577.0,Ogbonna,43,43,West Ham,1.0,0.086,1.0,0.056,1.0,0.015,1.0,0.007,1.0,0.072,1.0,0.014,1.0,0.03,1.0,0.084,1.0,0.006,1.0,0.011
M,317.0,Berry,47,47,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,347.0,Carson,39,39,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,622.0,Dodgson,40,40,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,670.0,Marschall,40,40,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,650.0,Onyango,45,45,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,108.0,Mbeumo,68,68,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,376.0,Casemiro,53,53,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,315.0,Andersen,39,39,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,224.0,Ebiowei,44,44,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,411.0,Gillespie,39,39,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,697.0,S.Bueno,45,45,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,726.0,Chambers,40,40,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,69.0,Hill,40,40,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,312.0,Van den Berg,40,40,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,201.0,W.Fofana,44,44,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,71.0,Kilkenny,43,43,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,219.0,Ahamada,43,43,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,711.0,Omobamidele,45,45,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,646.0,Hein,40,40,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,310.0,Thiago,48,48,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,448.0,Hennessey,40,40,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,237.0,Plange,45,45,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,690.0,Baleba,45,45,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,744.0,Peart-Harris,45,45,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,149.0,Undav,55,55,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,674.0,Delcroix,40,40,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,636.0,G.Shelvey,39,39,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,552.0,Fabio Silva,52,52,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,261.0,Onana,47,47,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,727.0,Townsend,50,50,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,500.0,Kane,125,125,Spurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,546.0,Bentley,39,39,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,384.0,Heaton,40,40,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,80.0,Randolph,40,40,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,649.0,Cannon,45,45,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,694.0,Massengo,50,50,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,207.0,Lukaku,68,68,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,677.0,Deivid,45,45,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,647.0,Anang,40,40,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,179.0,Thomas,40,40,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,502.0,Lloris,48,48,Spurs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,681.0,Diego Moreira,45,45,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,671.0,Humphreys,40,40,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,68.0,Fredericks,43,43,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,665.0,Krul,44,44,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,658.0,Gordon,45,45,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,289.0,Adrián,39,39,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,94.0,Bidstrup,45,45,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,653.0,Seriki,40,40,Sheffield Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,186.0,Andrey Santos,43,43,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,721.0,Ozoh,45,45,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,704.0,Fraser,45,45,Wolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,322.0,Freeman,49,49,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,164.0,Costelloe,45,45,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,483.0,Jebbison,48,48,Sheffield Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,200.0,D.D.Fofana,50,50,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,774.0,Casey,40,40,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,435.0,Arter,43,43,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G,686.0,Zych,40,40,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,767.0,O'Reilly,45,45,Aston Villa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,380.0,Álvaro Fernández,40,40,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,768.0,Bennett,40,40,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,683.0,Harris,45,45,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,652.0,Dibley-Dias,45,45,Fulham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,667.0,Lavia,49,49,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,162.0,Churlinov,44,44,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,736.0,Walters,40,40,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,399.0,Shoretire,44,44,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,159.0,Benson,52,52,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,109.0,Mee,48,48,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,575.0,Lockyer,43,43,Luton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,615.0,Matheus França,48,48,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,188.0,Aubameyang,65,65,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,463.0,Shelvey,48,48,Nott'm Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,118.0,Trevitt,45,45,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,154.0,Welbeck,57,57,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D,241.0,Tomkins,40,40,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
