ID,Name,Pos,Team,Price,38_fix,38_xmins,38_pts,38_g,38_a,38_cs,38_bon,38_dmins,38_likelihood
587,Sergio Gómez,2,MCI,44,(A): BRE,22.06,1.023,0.016,0.026,0.046,0.079,22.06,1
588,Kehrer,2,WHU,43,(A): LEI,29.05,0.841,0.007,0.014,0.047,0.028,29.05,1
589,Matheus,3,WOL,48,(A): ARS,70.53,2.392,0.07,0.092,0.065,0.099,70.53,1
590,Whitworth,1,CRY,40,(H): NFO,0,0,0,0,0,0,0,1
591,Ablade,4,FUL,45,(A): MUN,0,0,0,0,0,0,0,1
592,H.Davies,1,LIV,40,(A): SOU,0,0,0,0,0,0,0,1
593,Casemiro,3,MUN,49,(H): FUL,69.62,2.679,0.104,0.096,0.271,0.161,79.62,1
594,Isak,4,NEW,70,(A): CHE,66.64,3.719,0.295,0.153,0,0.5,66.64,1
595,Zanka,2,BRE,39,(H): MCI,31.83,0.792,0.014,0.008,0.045,0.029,31.83,1
596,Ferguson,4,BHA,46,(A): AVL,54.4,3.072,0.232,0.099,0,0.413,54.4,1
597,Saydee,4,BOU,45,,0,0,0,0,0,0,,
598,Bevan,2,BOU,40,,0,0,0,0,0,0,,
599,Gomes,3,MCI,45,,0,0,0,0,0,0,,
600,Knight,3,MCI,45,(A): BRE,1.92,0.116,0.002,0.002,0.002,0.004,1.92,1
601,Rodney,3,CRY,45,(H): NFO,4.82,0.295,0.007,0.009,0.003,0.014,4.82,1
602,Renan Lodi,2,NFO,43,(A): CRY,77.56,2.159,0.049,0.083,0.128,0.09,77.56,1
603,Paquetá,3,WHU,59,(A): LEI,70.47,3.113,0.149,0.146,0.141,0.218,70.47,1
604,Phillips,3,CRY,45,,0,0,0,0,0,0,,
605,Welch,2,EVE,40,(H): BOU,5.65,0.233,0.005,0.008,0.006,0.026,5.65,1
606,Vale,3,CHE,45,,0,0,0,0,0,0,,
607,Smith,3,ARS,44,(H): WOL,0,0,0,0,0,0,0,1
608,Kalajdžić,4,WOL,53,(A): ARS,0,0,0,0,0,0,0,1
609,Antony,3,MUN,73,(H): FUL,15.48,0.965,0.044,0.055,0.048,0.063,15.48,1
610,Akanji,2,MCI,51,(A): BRE,20.68,0.79,0.009,0.007,0.063,0.047,20.68,1
611,Gueye,3,EVE,47,(H): BOU,76.67,2.749,0.069,0.09,0.357,0.129,76.67,1
612,Faes,2,LEI,42,(H): WHU,84.91,2.816,0.048,0.025,0.241,0.186,84.91,1
613,Kurzawa,2,FUL,43,(A): MUN,4.04,0.135,0.002,0.003,0.001,0.004,4.04,1
614,Willian,3,FUL,55,(A): MUN,64.86,2.886,0.119,0.146,0.084,0.18,64.86,1
615,Kovár,1,MUN,40,,0,0,0,0,0,0,,
616,Zakaria,3,CHE,49,(H): NEW,23.13,0.934,0.018,0.017,0.026,0.028,23.13,1
617,Aubameyang,4,CHE,84,(H): NEW,7.32,0.56,0.033,0.014,0,0.048,7.32,1
618,Vinícius,4,FUL,54,(A): MUN,26.68,1.387,0.087,0.04,0,0.144,26.68,1
619,Gnonto,4,LEE,47,(H): TOT,46.11,2.461,0.15,0.108,0,0.253,46.11,1
620,Arthur,3,LIV,48,(A): SOU,14.29,0.704,0.019,0.019,0.014,0.025,14.29,1
621,Badé,2,NFO,45,,0,0,0,0,0,0,,
622,Larios,2,SOU,40,(H): LIV,0,0,0,0,0,0,0,1
623,Caleta-Car,2,SOU,44,(H): LIV,35.58,0.725,0.018,0.009,0.026,0.016,35.58,1
624,Edozie,3,SOU,46,(H): LIV,3.69,0.274,0.007,0.006,0.002,0.007,3.69,1
625,Diego Costa,4,WOL,53,(A): ARS,54.92,2.322,0.151,0.077,0,0.125,54.92,1
626,Karius,1,NEW,39,(A): CHE,10.04,0.382,0,0,0.024,0.028,10.04,1
627,Jakupović,1,EVE,40,,0,0,0,0,0,0,,
628,Aurier,2,NFO,43,(A): CRY,85.08,2.265,0.045,0.088,0.135,0.104,85.08,1
629,Traoré,3,WOL,43,(A): ARS,2.31,0.093,0.001,0.001,0,0.002,2.31,1
630,Nwaneri,3,ARS,45,(H): WOL,1.15,0.079,0.002,0.002,0.001,0.003,1.15,1
631,Sousa,2,ARS,40,(H): WOL,3.37,0.121,0.003,0.001,0.003,0.012,3.37,1
632,Trevitt,3,BRE,44,(H): MCI,1.86,0.108,0.002,0.001,0.001,0.003,1.86,1
633,Cox,1,BRE,39,(H): MCI,0,0,0,0,0,0,0,1
634,Gordon,4,CRY,45,,0,0,0,0,0,0,,
635,Bettinelli,1,CHE,40,(H): NEW,0,0,0,0,0,0,0,1
636,Parkes,2,FUL,40,(A): MUN,0,0,0,0,0,0,0,1
637,John,2,EVE,39,(H): BOU,6.22,0.255,0.005,0.009,0.007,0.027,6.22,1
638,Bogarde,2,AVL,40,,0,0,0,0,0,0,,
