Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
M,107.0,Lewis-Potter,50,50,Brentford,15.0,0.886,15.0,0.88,15.0,0.87,15.0,0.944,15.0,0.812,15.0,0.911
M,426.0,Saint-Maximin,60,60,Newcastle,15.0,0.883,15.0,0.816,15.0,0.855,15.0,0.823,15.0,0.884,15.0,1.039
F,483.0,Jebbison,50,50,Sheffield Utd,15.0,0.875,15.0,0.93,15.0,0.828,15.0,0.919,15.0,0.88,15.0,0.847
M,78.0,Ouattara,50,50,Bournemouth,15.0,0.922,15.0,0.822,15.0,0.914,15.0,0.886,15.0,0.898,15.0,0.815
F,464.0,Surridge,45,45,Nott'm Forest,15.0,0.844,15.0,0.886,15.0,0.879,15.0,0.912,15.0,0.902,15.0,0.819
F,443.0,Dennis,50,50,Nott'm Forest,15.0,0.813,15.0,0.969,15.0,0.829,15.0,0.859,15.0,0.966,15.0,0.792
M,543.0,Vlasic,45,45,West Ham,15.0,0.927,15.0,0.851,15.0,0.794,15.0,1.063,15.0,0.774,15.0,0.802
D,366.0,Sergio Gómez,40,40,Man City,15.0,0.92,15.0,0.737,15.0,0.93,15.0,0.819,15.0,0.804,15.0,0.882
M,210.0,Mudryk,65,65,Chelsea,15.0,0.735,15.0,0.801,15.0,1.002,15.0,0.871,15.0,0.872,15.0,0.782
F,82.0,Semenyo,45,45,Bournemouth,15.0,0.873,15.0,0.811,15.0,0.865,15.0,0.843,15.0,0.852,15.0,0.808
M,218.0,Ziyech,55,55,Chelsea,15.0,0.754,15.0,0.788,15.0,1.01,15.0,0.856,15.0,0.842,15.0,0.796
D,23.0,Tavares,40,40,Arsenal,15.0,0.887,15.0,0.817,15.0,0.852,15.0,0.793,15.0,0.855,15.0,0.838
F,76.0,Moore,50,50,Bournemouth,15.0,0.874,15.0,0.802,15.0,0.866,15.0,0.844,15.0,0.854,15.0,0.798
D,204.0,Hall,45,45,Chelsea,15.0,0.763,15.0,0.797,15.0,1.0,15.0,0.846,15.0,0.838,15.0,0.787
M,570.0,Sarabia,50,50,Wolves,15.0,0.79,15.0,0.756,15.0,0.858,15.0,0.827,15.0,0.764,15.0,1.013
F,562.0,Kalajdžić,50,50,Wolves,15.0,0.776,15.0,0.764,15.0,0.834,15.0,0.794,15.0,0.771,15.0,1.02
M,494.0,Bryan,50,50,Spurs,15.0,0.779,15.0,0.776,15.0,0.873,15.0,0.893,15.0,0.897,15.0,0.728
F,188.0,Aubameyang,65,65,Chelsea,15.0,0.745,15.0,0.797,15.0,0.921,15.0,0.853,15.0,0.846,15.0,0.78
M,381.0,Fred,50,50,Man Utd,15.0,0.856,15.0,0.801,15.0,0.848,15.0,0.742,15.0,0.754,15.0,0.874
M,125.0,Buonanotte,50,50,Brighton,15.0,0.968,15.0,0.852,15.0,0.782,15.0,0.713,15.0,0.715,15.0,0.844
D,311.0,Tsimikas,45,45,Liverpool,15.0,0.774,15.0,0.877,15.0,0.723,15.0,0.781,15.0,0.882,15.0,0.814
M,527.0,Cornet,55,55,West Ham,15.0,0.892,15.0,0.805,15.0,0.718,15.0,0.996,15.0,0.718,15.0,0.721
F,200.0,D.D.Fofana,50,50,Chelsea,15.0,0.729,15.0,0.801,15.0,0.896,15.0,0.809,15.0,0.81,15.0,0.793
M,360.0,McAtee,45,45,Man City,15.0,0.809,15.0,0.796,15.0,0.789,15.0,0.829,15.0,0.816,15.0,0.795
M,410.0,Fraser,50,50,Newcastle,15.0,0.802,15.0,0.752,15.0,0.772,15.0,0.754,15.0,0.802,15.0,0.947
D,41.0,Diego Carlos,45,45,Aston Villa,15.0,0.755,15.0,0.844,15.0,0.879,15.0,0.752,15.0,0.801,15.0,0.794
M,146.0,Sarmiento,45,45,Brighton,15.0,0.959,15.0,0.834,15.0,0.765,15.0,0.71,15.0,0.718,15.0,0.826
M,208.0,Madueke,55,55,Chelsea,15.0,0.721,15.0,0.774,15.0,0.933,15.0,0.811,15.0,0.812,15.0,0.753
F,246.0,Calvert-Lewin,60,60,Everton,15.0,0.809,15.0,0.772,15.0,0.844,15.0,0.832,15.0,0.725,15.0,0.771
M,98.0,Damsgaard,50,50,Brentford,15.0,0.782,15.0,0.793,15.0,0.768,15.0,0.835,15.0,0.72,15.0,0.809
M,205.0,Hudson-Odoi,50,50,Chelsea,15.0,0.693,15.0,0.748,15.0,0.916,15.0,0.804,15.0,0.804,15.0,0.734
M,213.0,Pulisic,55,55,Chelsea,15.0,0.693,15.0,0.748,15.0,0.888,15.0,0.811,15.0,0.812,15.0,0.727
M,67.0,Dembélé,45,45,Bournemouth,15.0,0.801,15.0,0.764,15.0,0.799,15.0,0.774,15.0,0.782,15.0,0.757
D,305.0,Matip,50,50,Liverpool,15.0,0.752,15.0,0.83,15.0,0.71,15.0,0.758,15.0,0.832,15.0,0.791
M,505.0,Ndombele,45,45,Spurs,15.0,0.735,15.0,0.717,15.0,0.829,15.0,0.84,15.0,0.844,15.0,0.695
D,510.0,Rodon,40,40,Spurs,15.0,0.744,15.0,0.726,15.0,0.822,15.0,0.826,15.0,0.828,15.0,0.706
D,357.0,Laporte,50,50,Man City,15.0,0.81,15.0,0.696,15.0,0.815,15.0,0.767,15.0,0.752,15.0,0.798
D,7.0,Holding,45,45,Arsenal,15.0,0.817,15.0,0.748,15.0,0.786,15.0,0.724,15.0,0.788,15.0,0.771
F,135.0,João Pedro,55,55,Brighton,15.0,0.927,15.0,0.78,15.0,0.748,15.0,0.701,15.0,0.7,15.0,0.774
D,257.0,Keane,45,45,Everton,15.0,0.785,15.0,0.739,15.0,0.811,15.0,0.836,15.0,0.714,15.0,0.739
M,392.0,McTominay,50,50,Man Utd,15.0,0.814,15.0,0.761,15.0,0.807,15.0,0.699,15.0,0.711,15.0,0.827
M,196.0,Chukwuemeka,45,45,Chelsea,15.0,0.69,15.0,0.724,15.0,0.92,15.0,0.787,15.0,0.79,15.0,0.703
M,142.0,Milner,50,50,Brighton,15.0,0.849,15.0,0.813,15.0,0.757,15.0,0.689,15.0,0.696,15.0,0.801
D,508.0,Reguilón,45,45,Spurs,15.0,0.721,15.0,0.7,15.0,0.821,15.0,0.83,15.0,0.851,15.0,0.677
M,554.0,Guedes,55,55,Wolves,15.0,0.709,15.0,0.706,15.0,0.788,15.0,0.741,15.0,0.71,15.0,0.946
D,370.0,Telles,45,45,Man Utd,15.0,0.829,15.0,0.742,15.0,0.823,15.0,0.672,15.0,0.683,15.0,0.846
M,115.0,Schade,55,55,Brentford,15.0,0.761,15.0,0.772,15.0,0.743,15.0,0.817,15.0,0.712,15.0,0.789
M,481.0,Fleck,50,50,Sheffield Utd,15.0,0.764,15.0,0.814,15.0,0.723,15.0,0.794,15.0,0.765,15.0,0.728
M,288.0,Wilson,55,55,Fulham,15.0,0.783,15.0,0.744,15.0,0.697,15.0,0.673,15.0,0.936,15.0,0.746
F,127.0,Connolly,45,45,Brighton,15.0,0.9,15.0,0.777,15.0,0.745,15.0,0.691,15.0,0.69,15.0,0.771
D,197.0,Colwill,45,45,Chelsea,15.0,0.667,15.0,0.728,15.0,0.884,15.0,0.795,15.0,0.793,15.0,0.704
M,38.0,Coutinho,60,60,Aston Villa,15.0,0.707,15.0,0.79,15.0,0.854,15.0,0.703,15.0,0.757,15.0,0.748
F,61.0,Wesley,50,50,Aston Villa,15.0,0.717,15.0,0.788,15.0,0.821,15.0,0.712,15.0,0.756,15.0,0.748
D,312.0,Van den Berg,40,40,Liverpool,15.0,0.726,15.0,0.806,15.0,0.688,15.0,0.732,15.0,0.808,15.0,0.766
M,87.0,H.Traorè,50,50,Bournemouth,15.0,0.785,15.0,0.729,15.0,0.777,15.0,0.751,15.0,0.761,15.0,0.722
D,24.0,Tierney,45,45,Arsenal,15.0,0.815,15.0,0.721,15.0,0.76,15.0,0.69,15.0,0.769,15.0,0.744
