Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
D,112.0,Pinnock,45,45,Brentford,85.0,3.469,85.0,5.025,85.0,3.334,85.0,4.227,85.0,2.794,85.0,3.157,85.0,5.152,85.0,3.025,85.0,4.401,85.0,3.697,0.0,0.0,85.0,4.721
G,145.0,Sánchez,46,46,Chelsea,89.0,4.047,89.0,3.371,89.0,3.693,89.0,3.237,89.0,2.803,89.0,2.892,89.0,3.317,89.0,3.406,89.0,3.622,89.0,4.832,89.0,3.811,89.0,3.966
G,230.0,Johnstone,45,45,Crystal Palace,85.0,4.263,85.0,2.888,85.0,3.57,85.0,3.942,85.0,4.015,85.0,3.996,85.0,3.621,85.0,4.331,85.0,3.148,85.0,2.714,85.0,3.362,85.0,3.14
D,519.0,Udogie,48,48,Spurs,80.0,4.262,80.0,4.309,80.0,3.548,80.0,3.369,80.0,3.989,80.0,3.412,80.0,2.045,80.0,4.067,80.0,2.92,80.0,4.016,80.0,4.214,80.0,2.762
M,267.0,Andreas,55,55,Fulham,83.0,3.985,83.0,3.342,83.0,3.26,83.0,3.478,83.0,3.33,83.0,3.873,83.0,3.193,83.0,3.941,83.0,3.684,83.0,3.173,83.0,4.002,83.0,3.652
M,402.0,Almirón,63,63,Newcastle,68.0,3.52,68.0,3.596,68.0,3.639,68.0,3.293,68.0,3.647,68.0,3.395,68.0,3.535,68.0,3.482,68.0,3.314,68.0,3.736,68.0,3.783,68.0,3.87
M,447.0,Gibbs-White,58,58,Nott'm Forest,80.0,3.483,80.0,4.029,80.0,3.208,80.0,3.46,80.0,3.586,80.0,3.385,80.0,3.644,80.0,3.625,80.0,3.678,80.0,3.46,80.0,3.844,80.0,3.19
D,419.0,Lascelles,39,39,Newcastle,70.0,3.264,70.0,3.793,70.0,3.527,70.0,2.734,70.0,3.566,70.0,3.305,70.0,3.507,70.0,3.393,70.0,2.939,70.0,4.071,70.0,3.819,70.0,4.496
M,376.0,Casemiro,54,54,Man Utd,82.0,3.544,82.0,3.841,82.0,3.053,82.0,3.648,82.0,3.986,82.0,3.612,82.0,3.106,82.0,3.494,82.0,3.91,82.0,3.109,82.0,3.586,82.0,3.503
D,350.0,Dias,55,55,Man City,78.0,3.002,78.0,3.56,78.0,3.431,78.0,5.207,78.0,3.294,78.0,3.505,78.0,4.132,78.0,3.225,78.0,4.496,78.0,4.428,0.0,0.0,78.0,4.019
M,412.0,Gordon,56,56,Newcastle,72.0,3.467,72.0,3.571,72.0,3.617,72.0,3.197,72.0,3.612,72.0,3.318,72.0,3.447,72.0,3.415,72.0,3.205,72.0,3.744,72.0,3.798,72.0,3.889
M,86.0,Tavernier,54,54,Bournemouth,72.0,3.502,72.0,3.768,72.0,3.837,72.0,2.994,72.0,3.156,72.0,3.831,72.0,3.311,72.0,3.355,72.0,3.294,72.0,3.947,72.0,3.636,72.0,3.629
F,232.0,Mateta,49,49,Crystal Palace,70.0,3.828,70.0,3.178,70.0,3.381,70.0,3.767,70.0,3.633,70.0,3.919,70.0,3.579,70.0,3.857,70.0,3.32,70.0,3.135,70.0,3.339,70.0,3.241
M,379.0,Eriksen,59,59,Man Utd,63.0,3.42,63.0,3.93,63.0,3.093,63.0,3.587,63.0,4.044,63.0,3.462,63.0,3.138,63.0,3.344,63.0,3.901,63.0,3.178,63.0,3.67,63.0,3.381
G,482.0,Foderingham,45,45,Sheffield Utd,89.0,3.466,89.0,3.501,89.0,2.93,89.0,4.064,89.0,2.971,89.0,4.11,89.0,3.851,89.0,3.167,89.0,3.467,89.0,3.087,89.0,3.026,89.0,4.45
D,369.0,Walker,53,53,Man City,76.0,3.017,76.0,3.507,76.0,3.421,76.0,5.233,76.0,3.207,76.0,3.452,76.0,4.048,76.0,3.2,76.0,4.527,76.0,4.433,0.0,0.0,76.0,3.976
G,597.0,Onana,49,49,Man Utd,89.0,3.495,89.0,3.86,89.0,2.754,89.0,3.5,89.0,4.537,89.0,3.527,89.0,2.766,89.0,3.354,89.0,4.226,89.0,2.767,89.0,3.418,89.0,3.368
D,544.0,Zouma,45,45,West Ham,84.0,2.698,84.0,2.786,84.0,3.96,84.0,3.043,84.0,4.398,84.0,4.01,84.0,3.763,84.0,3.011,84.0,3.603,84.0,4.291,84.0,3.474,84.0,2.532
M,406.0,Bruno Guimarães,58,58,Newcastle,85.0,3.437,85.0,3.521,85.0,3.574,85.0,3.173,85.0,3.573,85.0,3.213,85.0,3.391,85.0,3.388,85.0,3.096,85.0,3.704,85.0,3.641,85.0,3.853
M,429.0,Tonali,55,55,Newcastle,70.0,3.376,70.0,3.464,70.0,3.486,70.0,3.167,70.0,3.493,70.0,3.284,70.0,3.354,70.0,3.404,70.0,3.198,70.0,3.588,70.0,3.723,70.0,3.71
M,106.0,Jensen,54,54,Brentford,75.0,3.605,75.0,4.12,75.0,3.451,75.0,3.865,75.0,3.298,75.0,3.562,75.0,4.198,75.0,3.35,75.0,4.076,75.0,3.628,0.0,0.0,75.0,4.007
D,511.0,Romero,48,48,Spurs,80.0,4.018,80.0,4.016,80.0,3.285,80.0,3.339,80.0,3.649,80.0,3.271,80.0,2.15,80.0,3.795,80.0,2.934,80.0,3.661,80.0,4.089,80.0,2.865
G,352.0,Ederson,56,56,Man City,88.0,3.089,88.0,3.451,88.0,3.369,88.0,4.963,88.0,3.199,88.0,3.397,88.0,3.947,88.0,3.249,88.0,4.244,88.0,4.208,0.0,0.0,88.0,3.827
M,270.0,De Cordova-Reid,55,55,Fulham,75.0,3.865,75.0,3.222,75.0,3.143,75.0,3.332,75.0,3.192,75.0,3.581,75.0,3.097,75.0,3.587,75.0,3.461,75.0,3.093,75.0,3.656,75.0,3.471
D,5.0,Gabriel,47,47,Arsenal,77.0,2.215,77.0,2.798,77.0,5.045,77.0,2.408,77.0,4.819,77.0,2.929,77.0,4.46,77.0,3.988,77.0,2.662,77.0,2.952,77.0,2.42,77.0,3.952
