"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"94","Baptiste","MID","BRE","4.5","0.58","11.05","0.49","8.84","0.41","6.58","0.38","6.58","0.34","5.26","12.13"
"576","Senesi","DEF","BOU","4.5","0.57","39.50","2.49","80.64","1.28","80.64","3.32","80.64","2.94","80.64","93.68"
"125","Enciso","FWD","BHA","5","0.57","10.53","0.56","10.53","0.69","10.53","0.60","10.53","0.64","10.53","21.70"
"355","Dubravka","GK","NEW","4.5","0.54","13.42","0.38","13.42","0.59","13.42","0.33","13.42","0.62","13.42","19.80"
"559","Colwill","DEF","BHA","4.5","0.49","11.05","0.40","11.05","0.50","11.05","0.46","11.05","0.47","11.05","16.34"
"171","Olise","MID","CRY","5.5","0.49","9.47","1.48","25.58","1.61","39.93","2.24","39.93","1.88","39.93","73.95"
"93","Onyeka","MID","BRE","5","0.49","9.47","0.49","9.47","0.52","9.47","0.48","9.47","0.53","9.47","18.03"
"72","Travers","GK","BOU","4.5","0.48","27.79","0.27","8.18","0.16","8.18","0.34","8.18","0.34","8.18","10.84"
"173","Ebiowei","MID","CRY","4.5","0.45","7.89","0.52","7.89","0.44","7.89","0.53","7.89","0.48","7.89","18.68"
"548","Iversen","GK","LEI","4","0.42","15.16","0.59","15.16","0.39","15.16","0.46","15.16","0.50","15.16","18.51"
"435","D Sanchez","DEF","TOT","4.5","0.42","12.63","0.19","3.68","0.17","3.68","0.15","3.68","0.19","3.68","6.24"
"269","Soumare","MID","LEI","4.5","0.42","10.53","0.48","10.53","0.41","10.53","0.44","10.53","0.43","10.53","16.43"
"206","Bryan","DEF","FUL","4.5","0.41","8.42","0.45","8.42","0.32","8.42","0.43","8.42","0.30","8.42","14.43"
"216","Onomah","MID","FUL","4.5","0.41","6.58","0.44","6.58","0.31","5.26","0.25","3.95","0.15","2.63","6.90"
"41","Nakamba","MID","AVL","4.5","0.40","7.89","0.38","7.89","0.39","7.89","0.36","7.89","0.36","7.89","14.04"
"237","Greenwood","FWD","LEE","4.5","0.40","6.58","0.15","2.63","0.15","2.63","0.16","2.63","0.16","2.63","5.97"
"149","Gilmour","MID","CHE","4.5","0.39","6.58","0.41","6.58","0.42","6.58","0.41","6.58","0.41","6.58","14.92"
"203","N Chalobah","MID","FUL","4.5","0.38","6.58","0.40","6.58","0.36","6.58","0.39","6.58","0.36","6.58","14.18"
"178","Coleman","DEF","EVE","4.5","0.37","8.42","0.89","16.58","1.10","24.87","1.06","24.87","0.86","24.87","33.91"
"164","Riedewald","MID","CRY","4.5","0.37","7.89","0.42","7.89","0.37","7.89","0.43","7.89","0.40","7.89","15.30"
"260","Perez","MID","LEI","5","0.36","5.26","0.46","5.26","0.34","5.26","0.40","5.26","0.38","5.26","14.66"
"513","Lenglet","DEF","TOT","5","0.34","11.05","2.03","43.50","2.56","60.83","2.12","60.83","2.83","60.83","85.07"
"577","Onana","MID","EVE","5","0.34","6.32","1.44","28.42","1.63","39.50","1.72","39.50","1.43","39.50","58.35"
"241","Bate","MID","LEE","4.5","0.34","9.47","0.33","9.47","0.33","9.47","0.36","9.47","0.34","9.47","12.46"
"401","McCarthy","GK","SOU","4.5","0.33","8.28","0.26","8.28","0.26","8.28","0.25","8.28","0.31","8.28","10.43"
"5","Holding","DEF","ARS","4.5","0.33","6.32","0.34","6.32","0.36","6.32","0.34","6.32","0.27","6.32","11.64"
"325","K Phillips","MID","MCI","5","0.33","5.26","0.76","16.58","1.05","23.16","1.10","23.16","0.99","23.16","36.89"
"124","Mitoma","MID","BHA","5","0.32","5.53","0.31","5.53","0.37","5.53","0.33","5.53","0.35","5.53","11.99"
"252","N Mendy","MID","LEI","4.5","0.32","9.47","0.36","9.47","0.32","9.47","0.34","9.47","0.33","9.47","12.50"
"32","C Chambers","DEF","AVL","4.5","0.31","6.32","0.26","6.32","0.28","6.32","0.21","6.32","0.19","6.32","9.46"
"0","Cutrone","FWD","WOL","3","0.29","3.95","0.16","2.63","0.17","2.63","0.09","1.32","0.10","1.32","0.95"
"360","Lascelles","DEF","NEW","4.5","0.27","7.37","0.20","7.37","0.30","7.37","0.17","7.37","0.33","7.37","10.30"
"541","Dervisoglu","FWD","BRE","4.5","0.27","4.74","0.17","2.63","0.09","1.32","0.08","1.32","0.00","0.05","0.75"
"470","Diop","DEF","FUL","4.5","0.26","7.37","0.95","24.63","0.61","24.63","0.92","24.63","0.54","24.63","28.62"
"87","Ghoddos","MID","BRE","5","0.25","3.95","0.26","3.95","0.27","3.95","0.25","3.95","0.28","3.95","9.41"
"18","Lokonga","MID","ARS","4.5","0.25","4.74","0.25","4.74","0.26","4.74","0.25","4.74","0.23","4.74","8.91"
"1","Cedric","DEF","ARS","4.5","0.24","4.74","0.25","4.74","0.26","4.74","0.25","4.74","0.19","4.74","8.46"
